"magie","sort","effet","cible","temps","cout"
"air","**** AIR *****","","T","","0"
"air","Souffle puissant","Générer un souffle puissant pouvant déséquilibrer ses adversaires, (sur un jet de physique raté des adversaires)-10% à  sa prochaine action physique ","Sur cible","un tour","0"
"air","Lévitation","Permet de prendre de la hauteur ou de se survoler des surfaces le déplacement vertical ou au ras du sol reste lent 5 mètre(focus impossible pour le maintien)(2psy+1 mtn)","Sur cible ou sur soi","Maintien","2"
"air","Saut décuplé","Saute sur un ennemi avec une grande violence 1d6 et l'immobilise au sol","Sur soi","un tour","2"
"air","Mistral","Invoque un souffle d'air ardent qui inflige 1d4+2 de dommage, perce armure ","Sur cible","Un tour","2"
"air","Souffle de la vérité","Insuffle une douce prise sur un PNJ qui permet de savoir s'il dit la vérité","Sur cible","Un tour","3"
"air","Bouclier du vent","+2 en armure","Sur cible ou sur soi","Persistant","3"
"air","Aquilons","Génère un vent froid qui permet de détecter toute source de chaleur","Sur zone","Un tour","3"
"air","Arrèt du souffle","Un ennemi perd son souffle et perds donc 1 tour pour le récupérer","Sur cible","Un tour","3"
"air","Maîtrise du Vent","Permet de déclencher des tempêtes:1d6+3 de dégât, 1 pour 2 Dommages supplémentaires(3psy+2 mnt) ","Sur cible","Maintien","3"
"air","Nuage de poussier","Soulève avec un souffle de la poussière qui forme un nuage dense","Sur zone","4 tours","3"
"air","Pression atmosphérique","Inflige 1d6+5 à  une cible armure impossible","Sur cible","Un tour","4"
"air","Raréfaction de l'air","Étouffe une victime qui doit faire un test de physique pour rester conscient(-10% pour chaque tour supplémentaire), si inconscient plus besoin de maintien(5psy+3 mtn) ","Sur cible","Maintien",""
"air","Redbull","Donne des ailes au joueur ciblé, donne 1d4+3 de dégât supplémentaire ","Sur cible","3 tour","5"
"air","Tornade","Invoque une tornade qui peut maîtriser et diriger inflige 2d6+2 de dommage dégât de zone","Sur cible","Maintien","5"
"air","Second Souffle","Permet de rejouer d'agir à  tous moments(ce sort peut-être lancer à  tous moments)","Sur soi ou sur cible","Éphémère","5"
"air","Cyclone","Déclenche une terrible tempête,  inflige 4d10 perce armure, sur allier et ennemi dans la zone ","Sur zone","Unique","12"
"eau","**** EAU *****","","T","","0"
"eau","Hydrokinésie","Permet de manipuler les liquides, petit volumes ","Sur zone","Un tour","0"
